date, valuePerTh
2018-06-24,0.292
2018-06-25,0.302
2018-06-26,0.31
2018-06-27,0.263
2018-06-28,0.351
2018-06-29,0.311
2018-06-30,0.306
2018-07-01,0.318
2018-07-02,0.3
2018-07-03,0.294
2018-07-04,0.326
2018-07-05,0.327
2018-07-06,0.331
2018-07-07,0.306
2018-07-08,0.33
2018-07-09,0.294
2018-07-10,0.313
2018-07-11,0.285
2018-07-12,0.304
2018-07-13,0.29
2018-07-14,0.298
2018-07-15,0.298
2018-07-16,0.282
2018-07-17,0.392
2018-07-18,0.38
2018-07-19,0.362
2018-07-20,0.333
2018-07-21,0.324
2018-07-22,0.437
2018-07-23,0.356
2018-07-24,0.38
2018-07-25,0.437
2018-07-26,0.383
2018-07-27,0.418
2018-07-28,0.363
2018-07-29,0.367
2018-07-30,0.347
2018-07-31,0.343
2018-08-01,0.321
2018-08-02,0.324
2018-08-03,0.328
2018-08-04,0.319
2018-08-05,0.284
2018-08-06,0.27
2018-08-07,0.327
2018-08-08,0.276
2018-08-09,0.265
2018-08-10,0.298
2018-08-11,0.238
2018-08-12,0.237
2018-08-13,0.259
2018-08-14,0.227
2018-08-15,0.271
2018-08-16,0.253
2018-08-17,0.254
2018-08-18,0.256
2018-08-19,0.24
2018-08-20,0.265
2018-08-21,0.249
2018-08-22,0.275
2018-08-23,0.246
2018-08-24,0.258
2018-08-25,0.236
2018-08-26,0.277
2018-08-27,0.274
2018-08-28,0.241
2018-08-29,0.255
2018-08-30,0.265
2018-08-31,0.282
2018-09-01,0.257
2018-09-02,0.264
2018-09-03,0.271
2018-09-04,0.26
2018-09-05,0.286
2018-09-06,0.247
2018-09-07,0.241
2018-09-08,0.227
2018-09-09,0.245
2018-09-10,0.201
2018-09-11,0.224
2018-09-12,0.258
2018-09-13,0.221
2018-09-14,0.222
2018-09-15,0.245
2018-09-16,0.228
2018-09-17,0.235
2018-09-18,0.221
2018-09-19,0.239
2018-09-20,0.231
2018-09-21,0.243
2018-09-22,0.235
2018-09-23,0.238
2018-09-24,0.228
2018-09-25,0.239
2018-09-26,0.203
2018-09-27,0.244
2018-09-28,0.24
2018-09-29,0.23
2018-09-30,0.246
2018-10-01,0.23
2018-10-02,0.215
2018-10-03,0.23
2018-10-04,0.243
2018-10-05,0.206
2018-10-06,0.223
2018-10-07,0.219
2018-10-08,0.232
2018-10-09,0.234
2018-10-10,0.223
2018-10-11,0.227
2018-10-12,0.191
2018-10-13,0.216
2018-10-14,0.202
2018-10-15,0.255
2018-10-16,0.209
2018-10-17,0.227
2018-10-18,0.218
2018-10-19,0.243
2018-10-20,0.228
2018-10-21,0.226
2018-10-22,0.238
2018-10-23,0.223
2018-10-24,0.217
2018-10-25,0.255
2018-10-26,0.225
2018-10-27,0.212
2018-10-28,0.245
2018-10-29,0.22
2018-10-30,0.243
2018-10-31,0.226
2018-11-01,0.205
2018-11-02,0.226
2018-11-03,0.239
2018-11-04,0.197
2018-11-05,0.245
2018-11-06,0.208
2018-11-07,0.23
2018-11-08,0.222
2018-11-09,0.234
2018-11-10,0.244
2018-11-11,0.227
2018-11-12,0.228
2018-11-13,0.209
2018-11-14,0.223
2018-11-15,0.197
2018-11-16,0.211
2018-11-17,0.219
2018-11-18,0.188
2018-11-19,0.208
2018-11-20,0.192
2018-11-21,0.153
2018-11-22,0.184
2018-11-23,0.178
2018-11-24,0.174
2018-11-25,0.139
2018-11-26,0.152
2018-11-27,0.149
2018-11-28,0.146
2018-11-29,0.172
2018-11-30,0.153
2018-12-01,0.171
2018-12-02,0.156
2018-12-03,0.159
2018-12-04,0.207
2018-12-05,0.165
2018-12-06,0.177
2018-12-07,0.142
2018-12-08,0.158
2018-12-09,0.173
2018-12-10,0.152
2018-12-11,0.151
2018-12-12,0.152
2018-12-13,0.167
2018-12-14,0.153
2018-12-15,0.145
2018-12-16,0.131
2018-12-17,0.186
2018-12-18,0.134
2018-12-19,0.209
2018-12-20,0.189
2018-12-21,0.209
2018-12-22,0.218
2018-12-23,0.2
2018-12-24,0.186
2018-12-25,0.196
2018-12-26,0.191
2018-12-27,0.194
2018-12-28,0.185
2018-12-29,0.166
2018-12-30,0.22
2018-12-31,0.166
2019-01-01,0.173
2019-01-02,0.169
2019-01-03,0.183
2019-01-04,0.166
2019-01-05,0.17
2019-01-06,0.172
2019-01-07,0.179
2019-01-08,0.198
2019-01-09,0.188
2019-01-10,0.165
2019-01-11,0.16
2019-01-12,0.153
2019-01-13,0.168
2019-01-14,0.161
2019-01-15,0.144
2019-01-16,0.16
2019-01-17,0.153
2019-01-18,0.168
2019-01-19,0.158
2019-01-20,0.157
2019-01-21,0.159
2019-01-22,0.142
2019-01-23,0.156
2019-01-24,0.174
2019-01-25,0.14
2019-01-26,0.168
2019-01-27,0.142
2019-01-28,0.152
2019-01-29,0.155
2019-01-30,0.137
2019-01-31,0.169
2019-02-01,0.156
2019-02-02,0.138
2019-02-03,0.15
2019-02-04,0.151
2019-02-05,0.151
2019-02-06,0.155
2019-02-07,0.152
2019-02-08,0.143
2019-02-09,0.154
2019-02-10,0.155
2019-02-11,0.152
2019-02-12,0.142
2019-02-13,0.176
2019-02-14,0.133
2019-02-15,0.145
2019-02-16,0.174
2019-02-17,0.146
2019-02-18,0.156
2019-02-19,0.165
2019-02-20,0.16
2019-02-21,0.15
2019-02-22,0.198
2019-02-23,0.151
2019-02-24,0.17
2019-02-25,0.162
2019-02-26,0.176
2019-02-27,0.163
2019-02-28,0.155
2019-03-01,0.159
2019-03-02,0.146
2019-03-03,0.167
2019-03-04,0.15
2019-03-05,0.171
2019-03-06,0.153
2019-03-07,0.164
2019-03-08,0.169
2019-03-09,0.166
2019-03-10,0.15
2019-03-11,0.176
2019-03-12,0.161
2019-03-13,0.159
2019-03-14,0.184
2019-03-15,0.153
2019-03-16,0.177
2019-03-17,0.148
2019-03-18,0.187
2019-03-19,0.169
2019-03-20,0.167
2019-03-21,0.163
2019-03-22,0.168
2019-03-23,0.16
2019-03-24,0.153
2019-03-25,0.166
2019-03-26,0.145
2019-03-27,0.17
2019-03-28,0.166
2019-03-29,0.163
2019-03-30,0.156
2019-03-31,0.174
2019-04-01,0.161
2019-04-02,0.214
2019-04-03,0.204
2019-04-04,0.212
2019-04-05,0.215
2019-04-06,0.192
2019-04-07,0.222
2019-04-08,0.222
2019-04-09,0.2
2019-04-10,0.23
2019-04-11,0.219
2019-04-12,0.205
2019-04-13,0.199
2019-04-14,0.19
2019-04-15,0.24
2019-04-16,0.204
2019-04-17,0.21
2019-04-18,0.227
2019-04-19,0.212
2019-04-20,0.199
2019-04-21,0.227
2019-04-22,0.199
2019-04-23,0.219
2019-04-24,0.271
2019-04-25,0.211
2019-04-26,0.221
2019-04-27,0.192
2019-04-28,0.245
2019-04-29,0.213
2019-04-30,0.199
2019-05-01,0.233
2019-05-02,0.234
2019-05-03,0.212
2019-05-04,0.204
2019-05-05,0.229
2019-05-06,0.24
2019-05-07,0.213
2019-05-08,0.251
2019-05-09,0.249
2019-05-10,0.231
2019-05-11,0.274
2019-05-12,0.312
2019-05-13,0.3
2019-05-14,0.298
2019-05-15,0.331
2019-05-16,0.327
2019-05-17,0.307
2019-05-18,0.301
2019-05-19,0.325
2019-05-20,0.301
2019-05-21,0.336
2019-05-22,0.344
2019-05-23,0.292
2019-05-24,0.333
2019-05-25,0.291
2019-05-26,0.346
2019-05-27,0.365
2019-05-28,0.355
2019-05-29,0.365
2019-05-30,0.331
2019-05-31,0.273
2019-06-01,0.341
2019-06-02,0.305
2019-06-03,0.306
2019-06-04,0.339
2019-06-05,0.278
2019-06-06,0.273
2019-06-07,0.293
2019-06-08,0.25
2019-06-09,0.28
2019-06-10,0.283
2019-06-11,0.283
2019-06-12,0.268
2019-06-13,0.311
